Data,PIB_BR_EX,
1996.I,99.57,
1996.II,100.40,
1996.III,104.67,
1996.IV,102.98,
1997.I,104.32,
1997.II,105.03,
1997.III,106.59,
1997.IV,106.84,
1998.I,105.11,
1998.II,106.80,
1998.III,107.04,
1998.IV,105.35,
1999.I,106.01,
1999.II,106.16,
1999.III,106.48,
1999.IV,107.66,
2000.I,108.97,
2000.II,110.60,
2000.III,111.91,
2000.IV,113.12,
2001.I,113.60,
2001.II,113.10,
2001.III,112.52,
2001.IV,112.08,
2002.I,114.81,
2002.II,115.38,
2002.III,116.77,
2002.IV,117.97,
2003.I,117.47,
2003.II,116.55,
2003.III,117.52,
2003.IV,118.80,
2004.I,120.54,
2004.II,123.74,
2004.III,125.22,
2004.IV,126.32,
2005.I,127.30,
2005.II,128.95,
2005.III,127.85,
2005.IV,129.73,
2006.I,131.80,
2006.II,132.16,
2006.III,134.16,
2006.IV,136.07,
2007.I,138.81,
2007.II,140.54,
2007.III,142.04,
2007.IV,144.58,
2008.I,146.30,
2008.II,149.22,
2008.III,151.37,
2008.IV,146.08,
2009.I,144.15,
2009.II,146.23,
2009.III,149.67,
2009.IV,153.90,
2010.I,157.01,
2010.II,158.91,
2010.III,160.35,
2010.IV,162.57,
2011.I,164.90,
2011.II,166.46,
2011.III,166.12,
2011.IV,167.50,
2012.I,165.32,
2012.II,168.19,
2012.III,171.07,
2012.IV,171.10,
2013.I,172.04,
2013.II,174.53,
2013.III,175.31,
2013.IV,175.53,
2014.I,177.07,
2014.II,174.41,
2014.III,174.36,
2014.IV,175.25,
2015.I,173.85,
2015.II,169.71,
2015.III,167.02,
2015.IV,165.69,
2016.I,163.19,
2016.II,163.79,
2016.III,162.97,
2016.IV,162.62,
2017.I,164.40,
2017.II,165.68,
2017.III,166.19,
2017.IV,166.87,
2018.I,167.97,
2018.II,167.88,
2018.III,169.59,
2018.IV,168.90,
2019.I,169.41,
2019.II,170.53,
2019.III,170.85,
2019.IV,171.76, 
2020.I,167.90,
2020.II,153.43,
2020.III,165.62,
2020.IV,171.18,
2021.I,172.70,
2021.II,172.42,
2021.III,173.14,
2021.IV,175.06,
2022.I,176.73,
2022.II,178.56,
2022.III,179.36,
2022.IV,179.52,
2023.I,182.80,
2023.II,184.46,
2023.III,184.46,
2023.IV,184.46,
2024.I,185.3823,
2024.II,186.1238292,
2024.III,186.8683245168,
2024.IV,187.989534463901,
2025.I,188.741492601756,
2025.II,189.590829318464,
2025.III,190.538783465057,
2025.IV,191.491477382382,
2026.I,192.448934769294,
2026.II,193.41117944314,
2026.III,194.378235340356,
2026.IV,195.35,
