"","LSWAPREL360MAY19","LCONF19","RESPRIMARIO","D0304","D0804","dumtombini","D2002"
"2002Q1","0.2","4.603168","0.032192463","0","0","0","0"
"2002Q2","0.17066","4.558777","0.029913414","0","0","0","0"
"2002Q3","0.165659","4.516703","0.029505149","0","0","0","0"
"2002Q4","0.148373","4.584287","0.031921621","0","0","0","0"
"2003Q1","0.137953","4.607833","0.033095648","0","0","0","0"
"2003Q2","0.131734","4.492001","0.035334878","0","0","0","0"
"2003Q3","0.117329","4.470495","0.034412423","0","0","0","0"
"2003Q4","0.091845","4.629538","0.033137121","1","0","0","0"
"2004Q1","0.088483","4.667206","0.03366051","0","0","0","0"
"2004Q2","0.098124","4.668145","0.034056543","0","0","0","0"
"2004Q3","0.097549","4.707727","0.036430403","0","0","0","0"
"2004Q4","0.106054","4.71133","0.036090438","0","0","0","0"
"2005Q1","0.111749","4.659027","0.037175115","0","0","0","0"
"2005Q2","0.113438","4.590395","0.040255436","0","0","0","0"
"2005Q3","0.11581","4.552824","0.039928253","0","0","0","0"
"2005Q4","0.11244","4.576771","0.038751954","0","0","0","0"
"2006Q1","0.109207","4.61446","0.033604699","0","0","0","0"
"2006Q2","0.100864","4.608166","0.033112056","0","0","0","0"
"2006Q3","0.086305","4.607501","0.032705591","0","0","0","0"
"2006Q4","0.081274","4.641502","0.032402558","0","0","0","0"
"2007Q1","0.0764","4.67656","0.034669034","0","0","0","0"
"2007Q2","0.074138","4.70592","0.034184391","0","0","0","0"
"2007Q3","0.069447","4.722657","0.032818192","0","0","0","0"
"2007Q4","0.069586","4.748693","0.032736665","0","0","0","0"
"2008Q1","0.070871","4.731509","0.034853378","0","0","0","0"
"2008Q2","0.076297","4.728272","0.036091158","0","0","0","0"
"2008Q3","0.081121","4.730039","0.037778378","0","0","0","0"
"2008Q4","0.065117","4.457057","0.036667831","0","1","0","0"
"2009Q1","0.048652","4.339902","0.027309364","0","0","0","0"
"2009Q2","0.044688","4.483756","0.020867707","0","0","0","0"
"2009Q3","0.046495","4.619402","0.013755443","0","0","0","0"
"2009Q4","0.050335","4.712229","0.014029772","0","0","0","0"
"2010Q1","0.052884","4.743482","0.020717683","0","0","0","0"
"2010Q2","0.057428","4.750424","0.020260949","0","0","0","0"
"2010Q3","0.05193","4.730333","0.02181235","0","0","0","0"
"2010Q4","0.054151","4.722953","0.025327487","0","0","0","0"
"2011Q1","0.057199","4.716712","0.027936672","0","0","1","0"
"2011Q2","0.059928","4.699571","0.031152998","0","0","1","0"
"2011Q3","0.045894","4.630188","0.03376036","0","0","1","0"
"2011Q4","0.036712","4.61446","0.030729316","0","0","1","0"
"2012Q1","0.030485","4.630838","0.030828403","0","0","1","0"
"2012Q2","0.018057","4.61644","0.027449858","0","0","1","0"
"2012Q3","0.014696","4.630838","0.022482226","0","0","1","0"
"2012Q4","0.013804","4.65713","0.020104587","0","0","1","0"
"2013Q1","0.018724","4.663754","0.020173977","0","0","1","0"
"2013Q2","0.026953","4.658395","0.01767684","0","0","1","0"
"2013Q3","0.03378","4.616769","0.016027621","0","0","1","0"
"2013Q4","0.037391","4.601162","0.016585774","0","0","0","0"
"2014Q1","0.042503","4.591747","0.015623123","0","0","0","0"
"2014Q2","0.040254","4.529368","0.014386172","0","0","0","0"
"2014Q3","0.043674","4.45783","0.008383042","0","0","0","0"
"2014Q4","0.048839","4.465908","-0.000759805","0","0","0","0"
"2015Q1","0.052111","4.437934","-0.006193302","0","0","0","0"
"2015Q2","0.062679","4.327658","-0.007300842","0","0","0","0"
"2015Q3","0.073133","4.297739","-0.006877733","0","0","0","0"
"2015Q4","0.068528","4.328098","-0.011571719","0","0","0","0"
"2016Q1","0.054718","4.339902","-0.020508619","0","0","0","0"
"2016Q2","0.059216","4.37827","-0.02432625","0","0","0","0"
